file_name,tumor_type,seed_index,matched_ann_id,rank,z,score,unanimous,n_votes,n_mitotic_votes
013.tiff,human breast cancer,0,259,2,25.330005645751953,3.242079734802246,False,3,2
013.tiff,human breast cancer,0,240,5,22.01105499267578,2.8166465759277344,False,3,2
013.tiff,human breast cancer,0,263,6,21.74964714050293,2.7831387519836426,True,2,2
013.tiff,human breast cancer,0,260,8,20.930984497070312,2.6782000064849854,True,2,2
013.tiff,human breast cancer,0,246,17,18.86956214904785,2.4139609336853027,True,2,2
013.tiff,human breast cancer,0,247,22,18.0837345123291,2.3132312297821045,False,3,2
013.tiff,human breast cancer,0,268,36,17.2979793548584,2.212510585784912,False,3,2
013.tiff,human breast cancer,0,250,40,17.155298233032227,2.1942214965820312,True,2,2
013.tiff,human breast cancer,0,249,49,16.460542678833008,2.105165481567383,True,2,2
013.tiff,human breast cancer,0,262,58,15.904967308044434,2.0339503288269043,False,3,2
013.tiff,human breast cancer,0,243,148,13.828710556030273,1.7678096294403076,True,2,2
013.tiff,human breast cancer,0,258,384,11.664299011230469,1.4903689622879028,True,2,2
013.tiff,human breast cancer,0,248,394,11.55268383026123,1.4760618209838867,True,2,2
013.tiff,human breast cancer,0,253,486,11.069604873657227,1.4141392707824707,False,3,2
013.tiff,human breast cancer,0,242,633,10.58032512664795,1.3514219522476196,True,2,2
013.tiff,human breast cancer,0,241,912,9.749090194702148,1.2448718547821045,True,2,2
013.tiff,human breast cancer,0,245,1172,9.130783081054688,1.165615439414978,False,3,2
013.tiff,human breast cancer,1,259,1,35.189903259277344,5.676706790924072,False,3,2
013.tiff,human breast cancer,1,268,2,30.54428482055664,4.924788475036621,False,3,2
013.tiff,human breast cancer,1,263,3,28.850934982299805,4.650710582733154,True,2,2
013.tiff,human breast cancer,1,241,6,23.10709571838379,3.721039056777954,True,2,2
013.tiff,human breast cancer,1,240,11,21.494258880615234,3.4599924087524414,False,3,2
013.tiff,human breast cancer,1,249,15,20.799072265625,3.347472906112671,True,2,2
013.tiff,human breast cancer,1,242,24,19.11863136291504,3.07548451423645,True,2,2
013.tiff,human breast cancer,1,260,36,18.10441017150879,2.911327362060547,True,2,2
013.tiff,human breast cancer,1,250,53,17.329343795776367,2.7858784198760986,True,2,2
013.tiff,human breast cancer,1,262,59,17.160110473632812,2.7584872245788574,False,3,2
013.tiff,human breast cancer,1,247,74,16.50843620300293,2.653010129928589,False,3,2
013.tiff,human breast cancer,1,245,78,16.43343734741211,2.640871286392212,False,3,2
013.tiff,human breast cancer,1,253,111,15.7047700881958,2.522932529449463,False,3,2
013.tiff,human breast cancer,1,248,116,15.62757682800293,2.5104384422302246,True,2,2
013.tiff,human breast cancer,1,254,144,15.072680473327637,2.4206254482269287,True,2,2
013.tiff,human breast cancer,1,258,189,14.549296379089355,2.3359129428863525,True,2,2
013.tiff,human breast cancer,1,243,354,12.876814842224121,2.0652127265930176,True,2,2
013.tiff,human breast cancer,2,268,1,27.697277069091797,4.665999889373779,False,3,2
013.tiff,human breast cancer,2,248,2,25.587141036987305,4.308649063110352,True,2,2
013.tiff,human breast cancer,2,259,4,24.353178024291992,4.099678039550781,False,3,2
013.tiff,human breast cancer,2,262,6,23.469655990600586,3.9500539302825928,False,3,2
013.tiff,human breast cancer,2,260,7,23.441699981689453,3.945319652557373,True,2,2
013.tiff,human breast cancer,2,263,8,23.208101272583008,3.905759572982788,True,2,2
013.tiff,human breast cancer,2,246,39,17.246061325073242,2.896090507507324,True,2,2
013.tiff,human breast cancer,2,242,46,16.82009506225586,2.823953151702881,True,2,2
013.tiff,human breast cancer,2,241,54,16.535058975219727,2.7756824493408203,True,2,2
013.tiff,human breast cancer,2,243,92,15.429469108581543,2.588451385498047,True,2,2
013.tiff,human breast cancer,2,240,102,15.241631507873535,2.556641101837158,False,3,2
013.tiff,human breast cancer,2,245,126,14.632278442382812,2.4534473419189453,False,3,2
013.tiff,human breast cancer,2,250,168,13.812304496765137,2.3145852088928223,True,2,2
013.tiff,human breast cancer,2,253,195,13.454355239868164,2.2539665699005127,False,3,2
013.tiff,human breast cancer,2,254,199,13.436296463012695,2.250908374786377,True,2,2
013.tiff,human breast cancer,2,249,238,12.962931632995605,2.1707441806793213,True,2,2
013.tiff,human breast cancer,2,247,480,11.005843162536621,1.8393120765686035,False,3,2
013.tiff,human breast cancer,3,268,4,29.991403579711914,3.7619152069091797,False,3,2
013.tiff,human breast cancer,3,260,5,28.650026321411133,3.593223810195923,True,2,2
013.tiff,human breast cancer,3,259,6,27.66532325744629,3.4693877696990967,False,3,2
013.tiff,human breast cancer,3,240,13,24.44066619873047,3.0638556480407715,False,3,2
013.tiff,human breast cancer,3,246,47,21.536651611328125,2.6986472606658936,True,2,2
013.tiff,human breast cancer,3,262,59,21.0979061126709,2.6434707641601562,False,3,2
013.tiff,human breast cancer,3,254,69,20.49526023864746,2.5676822662353516,True,2,2
013.tiff,human breast cancer,3,241,72,20.378969192504883,2.5530574321746826,True,2,2
013.tiff,human breast cancer,3,247,88,19.828981399536133,2.483891010284424,False,3,2
013.tiff,human breast cancer,3,253,96,19.538679122924805,2.447382688522339,False,3,2
013.tiff,human breast cancer,3,249,97,19.533313751220703,2.4467079639434814,True,2,2
013.tiff,human breast cancer,3,258,99,19.476734161376953,2.4395925998687744,True,2,2
013.tiff,human breast cancer,3,243,132,18.464975357055664,2.3123538494110107,True,2,2
013.tiff,human breast cancer,3,248,135,18.396427154541016,2.3037333488464355,True,2,2
013.tiff,human breast cancer,3,245,190,17.247468948364258,2.159240484237671,False,3,2
013.tiff,human breast cancer,3,250,246,15.976421356201172,1.9993939399719238,True,2,2
013.tiff,human breast cancer,3,242,366,14.329621315002441,1.7922927141189575,True,2,2
013.tiff,human breast cancer,4,268,1,36.86744689941406,3.4895663261413574,False,3,2
013.tiff,human breast cancer,4,241,3,32.57887268066406,3.082263946533203,True,2,2
013.tiff,human breast cancer,4,259,4,31.26161766052246,2.9571592807769775,False,3,2
013.tiff,human breast cancer,4,263,10,27.076950073242188,2.559725522994995,True,2,2
013.tiff,human breast cancer,4,258,11,26.804349899291992,2.5338356494903564,True,2,2
013.tiff,human breast cancer,4,246,17,25.78226089477539,2.4367640018463135,True,2,2
013.tiff,human breast cancer,4,240,19,24.870311737060547,2.3501527309417725,False,3,2
013.tiff,human breast cancer,4,262,24,24.120210647583008,2.2789127826690674,False,3,2
013.tiff,human breast cancer,4,248,30,23.88287353515625,2.2563719749450684,True,2,2
013.tiff,human breast cancer,4,253,41,22.326791763305664,2.1085851192474365,False,3,2
013.tiff,human breast cancer,4,245,63,21.14310646057129,1.9961661100387573,False,3,2
013.tiff,human breast cancer,4,247,87,20.007604598999023,1.8883230686187744,False,3,2
013.tiff,human breast cancer,4,260,89,19.962915420532227,1.884078860282898,True,2,2
013.tiff,human breast cancer,4,249,112,19.179351806640625,1.809660792350769,True,2,2
013.tiff,human breast cancer,4,250,129,18.64225196838379,1.758650302886963,True,2,2
013.tiff,human breast cancer,4,243,194,16.840805053710938,1.5875601768493652,True,2,2
013.tiff,human breast cancer,4,254,273,15.516854286193848,1.4618195295333862,True,2,2
094.tiff,human breast cancer,0,2532,2,21.695999145507812,1.0931031703948975,False,3,2
094.tiff,human breast cancer,0,2643,3,21.001262664794922,1.0579967498779297,False,3,2
094.tiff,human breast cancer,0,2487,5,20.4581241607666,1.0305508375167847,True,2,2
094.tiff,human breast cancer,0,2619,8,19.310707092285156,0.972569465637207,False,3,2
094.tiff,human breast cancer,0,2622,9,18.91007423400879,0.9523246884346008,False,3,2
094.tiff,human breast cancer,0,2518,14,18.062978744506836,0.9095192551612854,True,2,2
094.tiff,human breast cancer,0,2644,16,17.94838523864746,0.9037286043167114,True,2,2
094.tiff,human breast cancer,0,2626,18,17.850982666015625,0.8988066911697388,False,3,2
094.tiff,human breast cancer,0,2588,19,17.83146858215332,0.8978205919265747,True,2,2
094.tiff,human breast cancer,0,2601,20,17.66020393371582,0.8891662955284119,False,3,2
094.tiff,human breast cancer,0,2614,21,17.63164710998535,0.8877232670783997,False,3,2
094.tiff,human breast cancer,0,2488,22,17.522953033447266,0.8822306990623474,False,3,2
094.tiff,human breast cancer,0,2630,23,17.45040512084961,0.8785646557807922,False,3,2
094.tiff,human breast cancer,0,2543,26,17.191896438598633,0.8655017614364624,True,2,2
094.tiff,human breast cancer,0,2607,27,17.13965606689453,0.8628619313240051,True,2,2
094.tiff,human breast cancer,0,2492,29,16.85483169555664,0.8484691977500916,True,2,2
094.tiff,human breast cancer,0,2513,31,16.526931762695312,0.8318997621536255,True,2,2
094.tiff,human breast cancer,0,2576,33,16.199440002441406,0.8153508901596069,False,3,2
094.tiff,human breast cancer,0,2483,35,16.075044631958008,0.8090649843215942,True,2,2
094.tiff,human breast cancer,0,2484,37,16.06207847595215,0.8084098100662231,False,3,2
