file_name,mpp_x,mpp_y,radius_px_from_x,radius_px_from_y,radius_gap_px,resolution_unit
013.tiff,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,0.0,2
094.tiff,0.22984761284250915,0.22986425339366515,32.63031496062992,32.62795275590551,0.0023622047244060695,2
201.tiff,0.24816562612969095,0.2491441799331038,30.221751968503938,30.103051181102362,0.11870078740157552,2
233.tiff,0.24816562612969095,0.2491441799331038,30.221751968503938,30.103051181102362,0.11870078740157552,2
245.tiff,0.24816562612969095,0.2491441799331038,30.221751968503938,30.103051181102362,0.11870078740157552,2
246.tiff,0.24816562612969095,0.2491441799331038,30.221751968503938,30.103051181102362,0.11870078740157552,2
300.tiff,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,0.0,2
301.tiff,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,0.0,2
402.tiff,0.22632094805310524,0.22632094805310524,33.13877952755905,33.13877952755905,0.0,2
403.tiff,0.22686065932495555,0.22686065932495555,33.059940944881895,33.059940944881895,0.0,2
459.tiff,0.24816562612969095,0.2491441799331038,30.221751968503938,30.103051181102362,0.11870078740157552,2
460.tiff,0.24816562612969095,0.2491441799331038,30.221751968503938,30.103051181102362,0.11870078740157552,2
529.tiff,0.2268329263261596,0.2268329263261596,33.0639829123214,33.0639829123214,0.0,3
548.tiff,0.22744294261267478,0.22744294261267478,32.975303229224245,32.975303229224245,0.0,3
