file_name,seed_ann_id,click_cx,click_cy,radius_px,nearest_other_mitotic_px,nearest_lookalike_px,n_other_annotations_within_2r,n_other_mitotic_within_r
013.tiff,249,1710.0,2861.0,33.13877952755905,426.4141179651537,1044.7415948453474,0,0
094.tiff,2512,5560.0,1178.0,32.63031496062992,61.98386886924694,227.24656213021134,1,0
201.tiff,4457,4097.0,1978.0,30.221751968503938,526.106453106213,700.0642827626617,0,0
233.tiff,5761,4419.0,2138.0,30.221751968503938,543.4565300003304,449.80995987194416,0,0
245.tiff,6317,4774.0,2184.0,30.221751968503938,92.84934033152847,476.05987018441283,0,0
246.tiff,6548,3634.0,3621.0,30.221751968503938,316.36213427020624,131.88252348207476,0,0
300.tiff,14499,1411.0,3551.0,29.609055118110238,150.02999700059985,341.45863585506225,0,0
301.tiff,14969,5911.0,3548.0,29.609055118110238,272.3692346796899,144.1700384962146,0,0
402.tiff,20254,989.0,4917.0,33.13877952755905,295.0610106401725,461.06940909151626,0,0
403.tiff,20356,2227.0,2970.0,33.059940944881895,439.36431352580286,346.80253747629934,0,0
459.tiff,22441,1845.0,4003.0,30.221751968503938,130.92364186807515,540.8752166627714,0,0
460.tiff,22577,5152.0,3999.0,30.221751968503938,626.8819665614891,498.52281793314137,0,0
529.tiff,24918,3421.0,2720.0,33.0639829123214,221.0701246211256,452.306312138135,0,0
548.tiff,25804,5163.0,3871.0,32.975303229224245,201.0198995124612,98.79397754924133,0,0
