check,label,n_items,caps,passed,used_radius,expected_radius,mpp,n_near_seed,match_radius_px,n_peaks,max_peaks,note
no_cap,013.tiff/tm_score,98.0,(),True,,,,,,,,
nms_radius,013.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,,,
no_cap,013.tiff/chromatin_od,98.0,(),True,,,,,,,,
nms_radius,013.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,,,
no_cap,013.tiff/od_contrast,98.0,(),True,,,,,,,,
nms_radius,013.tiff/od_contrast,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,,,
seed_annulus_empty,013.tiff/hem_bbox,,,True,,,,0.0,33.139,,,
max_peaks_binds,013.tiff/hem_bbox,,,True,,,,,,100.0,100.0,
no_cap,013.tiff/tm_score,97.0,(),True,,,,,,,,
nms_radius,013.tiff/tm_score,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,,,
no_cap,013.tiff/chromatin_od,97.0,(),True,,,,,,,,
nms_radius,013.tiff/chromatin_od,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,,,
no_cap,013.tiff/od_contrast,97.0,(),True,,,,,,,,
nms_radius,013.tiff/od_contrast,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,,,,
seed_annulus_empty,013.tiff/gray_bbox,,,True,,,,0.0,33.139,,,
max_peaks_binds,013.tiff/gray_bbox,,,True,,,,,,100.0,100.0,
no_cap,094.tiff/tm_score,98.0,(),True,,,,,,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,,,
no_cap,094.tiff/chromatin_od,98.0,(),True,,,,,,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,,,
no_cap,094.tiff/od_contrast,98.0,(),True,,,,,,,,
nms_radius,094.tiff/od_contrast,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,,,
seed_annulus_empty,094.tiff/hem_bbox,,,True,,,,0.0,32.63,,,
max_peaks_binds,094.tiff/hem_bbox,,,True,,,,,,100.0,100.0,
no_cap,094.tiff/tm_score,96.0,(),True,,,,,,,,
nms_radius,094.tiff/tm_score,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,,,
no_cap,094.tiff/chromatin_od,96.0,(),True,,,,,,,,
nms_radius,094.tiff/chromatin_od,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,,,
no_cap,094.tiff/od_contrast,96.0,(),True,,,,,,,,
nms_radius,094.tiff/od_contrast,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,,,,
seed_annulus_empty,094.tiff/gray_bbox,,,True,,,,0.0,32.63,,,
max_peaks_binds,094.tiff/gray_bbox,,,True,,,,,,100.0,100.0,
no_cap,201.tiff/tm_score,97.0,(),True,,,,,,,,
nms_radius,201.tiff/tm_score,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,,,
no_cap,201.tiff/chromatin_od,97.0,(),True,,,,,,,,
nms_radius,201.tiff/chromatin_od,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,,,
no_cap,201.tiff/od_contrast,97.0,(),True,,,,,,,,
nms_radius,201.tiff/od_contrast,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,,,,
