file_name,seed_index,matched_ann_id,z_r50,score_r50,z_r75,score_r75,dz
301.tiff,0,14782,1.9873121976852417,0.3821246922016144,1.5595299005508425,0.2950320541858673,-0.4277822971343992
301.tiff,0,14768,2.09305739402771,0.4036534428596496,2.09305739402771,0.4036534428596496,0.0
301.tiff,0,14765,2.3058581352233887,0.4469777643680572,2.3058581352233887,0.4469777643680572,0.0
301.tiff,0,14763,2.392000198364258,0.4645155370235443,2.392000198364258,0.4645155370235443,0.0
301.tiff,0,14978,2.4650449752807617,0.4793867766857147,2.4650449752807617,0.4793867766857147,0.0
301.tiff,0,14873,2.4794647693634038,0.4823225438594818,2.4794647693634038,0.4823225438594818,0.0
301.tiff,0,14776,2.487471103668213,0.4839525520801544,2.487471103668213,0.4839525520801544,0.0
301.tiff,0,14859,2.4894652366638184,0.4843585193157196,2.4894652366638184,0.4843585193157196,0.0
301.tiff,0,14863,2.58514142036438,0.5038373470306396,2.58514142036438,0.5038373470306396,0.0
301.tiff,0,14940,2.6037869453430176,0.5076334476470947,2.6037869453430176,0.5076334476470947,0.0
301.tiff,0,14744,2.641929864883423,0.5153989791870117,2.641929864883423,0.5153989791870117,0.0
301.tiff,0,14843,2.6466140747070312,0.516352653503418,2.6466140747070312,0.516352653503418,0.0
301.tiff,0,15026,2.745851755142212,0.5365565419197083,2.745851755142212,0.5365565419197083,0.0
301.tiff,0,15012,2.794898271560669,0.5465419888496399,2.794898271560669,0.5465419888496399,0.0
301.tiff,0,14777,2.840791940689087,0.5558854937553406,2.840791940689087,0.5558854937553406,0.0
301.tiff,0,14732,2.8622970581054688,0.5602637529373169,2.8622970581054688,0.5602637529373169,0.0
301.tiff,0,14729,2.883585929870605,0.5645979642868042,2.883585929870605,0.5645979642868042,0.0
301.tiff,0,14741,2.8923451900482178,0.5663812756538391,2.8923451900482178,0.5663812756538391,0.0
301.tiff,0,14748,2.9679269790649414,0.5817690491676331,2.9679269790649414,0.5817690491676331,0.0
301.tiff,0,15025,3.0848207473754883,0.6055675745010376,3.0848207473754883,0.6055675745010376,0.0
301.tiff,0,15016,3.1064975261688232,0.6099807620048523,3.1064975261688232,0.6099807620048523,0.0
301.tiff,0,14853,3.184293508529663,0.6258193254470825,3.184293508529663,0.6258193254470825,0.0
301.tiff,0,14948,3.1859278678894043,0.6261520981788635,3.1859278678894043,0.6261520981788635,0.0
301.tiff,0,15032,3.2005622386932373,0.6291314959526062,3.2005622386932373,0.6291314959526062,0.0
