file_name,seed_index,seed_ann_id,n_mitotic_in_json,seed_is_mitotic,expected_n_gt,observed_n_gt,matches
013.tiff,0,254,18,True,17,17,True
094.tiff,0,2512,82,True,81,81,True
201.tiff,0,4457,18,True,17,17,True
233.tiff,0,5761,18,True,17,17,True
245.tiff,0,6274,90,True,89,89,True
246.tiff,0,6548,116,True,115,115,True
300.tiff,0,14581,181,True,180,180,True
301.tiff,0,14969,218,True,217,217,True
402.tiff,0,20254,105,True,104,104,True
403.tiff,0,20356,53,True,52,52,True
459.tiff,0,22441,131,True,130,130,True
460.tiff,0,22577,36,True,35,35,True
529.tiff,0,24918,20,True,19,19,True
548.tiff,0,25804,239,True,238,238,True
013.tiff,1,246,18,True,17,17,True
094.tiff,1,2534,82,True,81,81,True
201.tiff,1,4457,18,True,17,17,True
233.tiff,1,5761,18,True,17,17,True
245.tiff,1,6243,90,True,89,89,True
246.tiff,1,6599,116,True,115,115,True
300.tiff,1,14577,181,True,180,180,True
301.tiff,1,14742,218,True,217,217,True
402.tiff,1,20258,105,True,104,104,True
403.tiff,1,20344,53,True,52,52,True
459.tiff,1,22445,131,True,130,130,True
460.tiff,1,22538,36,True,35,35,True
529.tiff,1,24937,20,True,19,19,True
548.tiff,1,25712,239,True,238,238,True
013.tiff,2,258,18,True,17,17,True
094.tiff,2,2494,82,True,81,81,True
201.tiff,2,4475,18,True,17,17,True
233.tiff,2,5770,18,True,17,17,True
245.tiff,2,6249,90,True,89,89,True
246.tiff,2,6484,116,True,115,115,True
300.tiff,2,14553,181,True,180,180,True
301.tiff,2,14782,218,True,217,217,True
402.tiff,2,20245,105,True,104,104,True
403.tiff,2,20396,53,True,52,52,True
459.tiff,2,22306,131,True,130,130,True
460.tiff,2,22552,36,True,35,35,True
529.tiff,2,24911,20,True,19,19,True
548.tiff,2,25735,239,True,238,238,True
013.tiff,3,263,18,True,17,17,True
094.tiff,3,2612,82,True,81,81,True
201.tiff,3,4475,18,True,17,17,True
233.tiff,3,5760,18,True,17,17,True
245.tiff,3,6257,90,True,89,89,True
246.tiff,3,6520,116,True,115,115,True
300.tiff,3,14578,181,True,180,180,True
301.tiff,3,14921,218,True,217,217,True
402.tiff,3,20183,105,True,104,104,True
403.tiff,3,20353,53,True,52,52,True
459.tiff,3,22371,131,True,130,130,True
460.tiff,3,22537,36,True,35,35,True
529.tiff,3,24909,20,True,19,19,True
548.tiff,3,25802,239,True,238,238,True
013.tiff,4,242,18,True,17,17,True
094.tiff,4,2494,82,True,81,81,True
201.tiff,4,4479,18,True,17,17,True
233.tiff,4,5761,18,True,17,17,True
245.tiff,4,6354,90,True,89,89,True
246.tiff,4,6587,116,True,115,115,True
300.tiff,4,14500,181,True,180,180,True
301.tiff,4,14817,218,True,217,217,True
402.tiff,4,20222,105,True,104,104,True
403.tiff,4,20336,53,True,52,52,True
459.tiff,4,22305,131,True,130,130,True
460.tiff,4,22568,36,True,35,35,True
529.tiff,4,24918,20,True,19,19,True
548.tiff,4,25719,239,True,238,238,True
