file_name,method,rank,cx,cy,score,angle,flip,scale,bucket,matched_ann_id,matched_category
301.tiff,find_and_suppress,0,4906.0,208.0,0.9434542,0.0,False,1.0,human_correct_label,14762,1
301.tiff,find_and_suppress,1,743.0,1894.0,0.93570906,0.0,False,1.0,human_correct_label,14831,1
301.tiff,find_and_suppress,2,4503.0,3736.0,0.9342305,0.0,False,1.0,human_correct_label,14956,1
301.tiff,find_and_suppress,3,1749.0,3657.0,0.9298134,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,4,1794.0,3063.0,0.92154336,0.0,False,1.0,human_correct_label,14890,1
301.tiff,find_and_suppress,5,414.0,3532.0,0.9198524,0.0,False,1.0,human_correct_label,14923,1
301.tiff,find_and_suppress,6,5490.0,3027.0,0.9181644,0.0,False,1.0,human_correct_label,14917,1
301.tiff,find_and_suppress,7,2922.0,2562.0,0.9177435,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,8,2465.0,3553.0,0.91535676,0.0,False,1.0,human_correct_label,14937,1
301.tiff,find_and_suppress,9,5545.0,130.0,0.9137005,0.0,False,1.0,human_correct_label,14773,1
301.tiff,find_and_suppress,10,3260.0,2906.0,0.9113946,0.0,False,1.0,human_correct_label,14903,1
301.tiff,find_and_suppress,11,3463.0,1577.0,0.9064632,0.0,False,1.0,human_correct_label,14807,1
301.tiff,find_and_suppress,12,4264.0,253.0,0.90565115,0.0,False,1.0,human_correct_label,14752,1
301.tiff,find_and_suppress,13,2062.0,3171.0,0.9041623,0.0,False,1.0,human_correct_label,14891,1
301.tiff,find_and_suppress,14,2858.0,3211.0,0.9026457,0.0,False,1.0,human_correct_label,14942,1
301.tiff,find_and_suppress,15,4169.0,4481.0,0.9008103,0.0,False,1.0,human_correct_label,14997,1
301.tiff,find_and_suppress,16,5547.0,3366.0,0.90014225,0.0,False,1.0,human_rejected_label,14965,2
301.tiff,find_and_suppress,17,6220.0,1327.0,0.9001284,0.0,False,1.0,human_correct_label,14826,1
301.tiff,find_and_suppress,18,5517.0,1234.0,0.89939344,0.0,False,1.0,human_rejected_label,14821,2
301.tiff,find_and_suppress,19,5567.0,266.0,0.8992676,0.0,False,1.0,human_correct_label,14772,1
301.tiff,find_and_suppress,20,6177.0,2879.0,0.8990773,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,21,5235.0,641.0,0.8968696,0.0,False,1.0,human_correct_label,14770,1
301.tiff,find_and_suppress,22,2897.0,3199.0,0.8958928,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,23,487.0,1469.0,0.89581376,0.0,False,1.0,human_correct_label,14785,1
301.tiff,find_and_suppress,24,2770.0,4518.0,0.8951162,0.0,False,1.0,human_correct_label,14988,1
301.tiff,find_and_suppress,25,317.0,4567.0,0.8935777,0.0,False,1.0,human_correct_label,14975,1
301.tiff,find_and_suppress,26,5415.0,4444.0,0.89306206,0.0,False,1.0,human_correct_label,15014,1
301.tiff,find_and_suppress,27,1731.0,2845.0,0.8929806,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,28,4314.0,4472.0,0.8920926,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,29,3262.0,3045.0,0.891502,0.0,False,1.0,human_correct_label,15034,1
301.tiff,find_and_suppress,30,1286.0,3641.0,0.8910122,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,31,2390.0,107.0,0.8908896,0.0,False,1.0,human_rejected_label,14745,2
301.tiff,find_and_suppress,32,4133.0,3008.0,0.890692,0.0,False,1.0,human_correct_label,14907,1
301.tiff,find_and_suppress,33,1208.0,3812.0,0.8894691,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,34,4499.0,301.0,0.88814443,0.0,False,1.0,non_human_findings,-1,0
301.tiff,find_and_suppress,35,3113.0,2645.0,0.88787323,0.0,False,1.0,human_correct_label,14905,1
