file_name,z,check,n_genuine,n_shortcut,passed
013.tiff,-1.5,max_peaks_not_binding,47708,2000000,True
013.tiff,-1.5,scores_descending,17200,17200,True
013.tiff,1.0,rerun_equals_prefix,11571,11571,True
013.tiff,1.0,max_peaks_not_binding,21028,2000000,True
013.tiff,1.0,scores_descending,11571,11571,True
013.tiff,2.0,rerun_equals_prefix,7892,7892,True
013.tiff,2.0,max_peaks_not_binding,12160,2000000,True
013.tiff,2.0,scores_descending,7892,7892,True
013.tiff,3.0,rerun_equals_prefix,6568,6568,True
013.tiff,3.0,max_peaks_not_binding,9412,2000000,True
013.tiff,3.0,scores_descending,6568,6568,True
013.tiff,4.0,rerun_equals_prefix,5527,5527,True
013.tiff,4.0,max_peaks_not_binding,7454,2000000,True
013.tiff,4.0,scores_descending,5527,5527,True
013.tiff,5.0,rerun_equals_prefix,4500,4500,True
013.tiff,5.0,max_peaks_not_binding,5734,2000000,True
013.tiff,5.0,scores_descending,4500,4500,True
013.tiff,6.0,rerun_equals_prefix,3478,3478,True
013.tiff,6.0,max_peaks_not_binding,4227,2000000,True
013.tiff,6.0,scores_descending,3478,3478,True
013.tiff,8.0,rerun_equals_prefix,1771,1771,True
013.tiff,8.0,max_peaks_not_binding,1979,2000000,True
013.tiff,8.0,scores_descending,1771,1771,True
013.tiff,10.0,rerun_equals_prefix,810,810,True
013.tiff,10.0,max_peaks_not_binding,863,2000000,True
013.tiff,10.0,scores_descending,810,810,True
013.tiff,12.0,rerun_equals_prefix,331,331,True
013.tiff,12.0,max_peaks_not_binding,339,2000000,True
013.tiff,12.0,scores_descending,331,331,True
013.tiff,15.0,rerun_equals_prefix,91,91,True
013.tiff,15.0,max_peaks_not_binding,93,2000000,True
013.tiff,15.0,scores_descending,91,91,True
013.tiff,18.0,rerun_equals_prefix,24,24,True
013.tiff,18.0,max_peaks_not_binding,25,2000000,True
013.tiff,18.0,scores_descending,24,24,True
013.tiff,22.0,rerun_equals_prefix,5,5,True
013.tiff,22.0,max_peaks_not_binding,6,2000000,True
013.tiff,22.0,scores_descending,5,5,True
013.tiff,26.0,rerun_equals_prefix,1,1,True
013.tiff,26.0,max_peaks_not_binding,1,2000000,True
013.tiff,26.0,scores_descending,1,1,True
094.tiff,-1.5,max_peaks_not_binding,60692,2000000,True
094.tiff,-1.5,scores_descending,18410,18410,True
094.tiff,1.0,rerun_equals_prefix,15369,15369,True
094.tiff,1.0,max_peaks_not_binding,40820,2000000,True
094.tiff,1.0,scores_descending,15369,15369,True
094.tiff,2.0,rerun_equals_prefix,12294,12294,True
094.tiff,2.0,max_peaks_not_binding,24066,2000000,True
094.tiff,2.0,scores_descending,12294,12294,True
094.tiff,3.0,rerun_equals_prefix,8678,8678,True
094.tiff,3.0,max_peaks_not_binding,12985,2000000,True
094.tiff,3.0,scores_descending,8678,8678,True
094.tiff,4.0,rerun_equals_prefix,5067,5067,True
094.tiff,4.0,max_peaks_not_binding,6792,2000000,True
094.tiff,4.0,scores_descending,5067,5067,True
094.tiff,5.0,rerun_equals_prefix,2991,2991,True
094.tiff,5.0,max_peaks_not_binding,3936,2000000,True
094.tiff,5.0,scores_descending,2991,2991,True
094.tiff,6.0,rerun_equals_prefix,2066,2066,True
094.tiff,6.0,max_peaks_not_binding,2692,2000000,True
094.tiff,6.0,scores_descending,2066,2066,True
094.tiff,8.0,rerun_equals_prefix,1205,1205,True
094.tiff,8.0,max_peaks_not_binding,1483,2000000,True
094.tiff,8.0,scores_descending,1205,1205,True
094.tiff,10.0,rerun_equals_prefix,663,663,True
094.tiff,10.0,max_peaks_not_binding,753,2000000,True
094.tiff,10.0,scores_descending,663,663,True
094.tiff,12.0,rerun_equals_prefix,306,306,True
094.tiff,12.0,max_peaks_not_binding,326,2000000,True
094.tiff,12.0,scores_descending,306,306,True
094.tiff,15.0,rerun_equals_prefix,64,64,True
094.tiff,15.0,max_peaks_not_binding,66,2000000,True
094.tiff,15.0,scores_descending,64,64,True
094.tiff,18.0,rerun_equals_prefix,14,14,True
094.tiff,18.0,max_peaks_not_binding,14,2000000,True
