png,row,channel,panel1_title,panel2_title,panel3_title,panel4_title,panel5_title,template_crop_shape,template_crop_matches_base_size,suptitle
tightening_300_14581.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=111.0/255),components (label=2) area=1126px solidity=0.80 ACCEPTED,tightened bbox (base_size=45px),final template (45x45px),45x45,True,"300.tiff  (canine cutaneous mast cell tumor)  --  annotation 14581, #1 (seed_index=0)"
tightening_300_14581.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=69.0/255),components REFUSED: click lands on background at this Otsu cut,REFUSED click lands on background at this Otsu cut,no template (refused),,,"300.tiff  (canine cutaneous mast cell tumor)  --  annotation 14581, #1 (seed_index=0)"
tightening_300_14575.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=143.0/255),components (label=8) area=435px solidity=0.77 ACCEPTED,tightened bbox (base_size=33px),final template (33x33px),33x33,True,"300.tiff  (canine cutaneous mast cell tumor)  --  annotation 14575, #2 (seed_index=1)"
tightening_300_14575.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=78.0/255),components (label=2) area=149px solidity=0.84 ACCEPTED,tightened bbox (base_size=19px),final template (19x19px),19x19,True,"300.tiff  (canine cutaneous mast cell tumor)  --  annotation 14575, #2 (seed_index=1)"
tightening_201_4457.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=103.0/255),components (label=1) area=1592px solidity=0.74 ACCEPTED,tightened bbox (base_size=51px),final template (51x51px),51x51,True,"201.tiff  (canine lung cancer)  --  annotation 4457, #1 (seed_index=0)"
tightening_201_4457.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=88.0/255),components (label=6) area=347px solidity=0.71 ACCEPTED,tightened bbox (base_size=29px),final template (29x29px),29x29,True,"201.tiff  (canine lung cancer)  --  annotation 4457, #1 (seed_index=0)"
tightening_201_4469.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=126.0/255),components (label=2) area=1247px solidity=0.62 ACCEPTED,tightened bbox (base_size=51px),final template (51x51px),51x51,True,"201.tiff  (canine lung cancer)  --  annotation 4469, #2 (seed_index=1)"
tightening_201_4469.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=97.0/255),components (label=2) area=336px solidity=0.79 ACCEPTED,tightened bbox (base_size=31px),final template (31x31px),31x31,True,"201.tiff  (canine lung cancer)  --  annotation 4469, #2 (seed_index=1)"
tightening_245_6274.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=153.0/255),components (label=3) area=1258px solidity=0.74 ACCEPTED,tightened bbox (base_size=47px),final template (47x47px),47x47,True,"245.tiff  (canine lymphosarcoma)  --  annotation 6274, #1 (seed_index=0)"
tightening_245_6274.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=91.0/255),components REFUSED: click lands on background at this Otsu cut,REFUSED click lands on background at this Otsu cut,no template (refused),,,"245.tiff  (canine lymphosarcoma)  --  annotation 6274, #1 (seed_index=0)"
tightening_245_6243.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=154.0/255),components (label=1) area=1276px solidity=0.70 ACCEPTED,tightened bbox (base_size=51px),final template (51x51px),51x51,True,"245.tiff  (canine lymphosarcoma)  --  annotation 6243, #2 (seed_index=1)"
tightening_245_6243.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=74.0/255),components (label=1) area=416px solidity=0.69 ACCEPTED,tightened bbox (base_size=35px),final template (35x35px),35x35,True,"245.tiff  (canine lymphosarcoma)  --  annotation 6243, #2 (seed_index=1)"
tightening_459_22441.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=166.0/255),components (label=4) area=652px solidity=0.88 ACCEPTED,tightened bbox (base_size=33px),final template (33x33px),33x33,True,"459.tiff  (canine soft tissue sarcoma)  --  annotation 22441, #1 (seed_index=0)"
tightening_459_22441.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=91.0/255),components (label=1) area=606px solidity=0.89 ACCEPTED,tightened bbox (base_size=31px),final template (31x31px),31x31,True,"459.tiff  (canine soft tissue sarcoma)  --  annotation 22441, #1 (seed_index=0)"
tightening_459_22446.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=166.0/255),components (label=1) area=838px solidity=0.88 ACCEPTED,tightened bbox (base_size=41px),final template (41x41px),41x41,True,"459.tiff  (canine soft tissue sarcoma)  --  annotation 22446, #2 (seed_index=1)"
tightening_459_22446.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=99.0/255),components (label=1) area=748px solidity=0.85 ACCEPTED,tightened bbox (base_size=39px),final template (39x39px),39x39,True,"459.tiff  (canine soft tissue sarcoma)  --  annotation 22446, #2 (seed_index=1)"
tightening_013_254.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=139.0/255),components (label=3) area=582px solidity=0.84 ACCEPTED,tightened bbox (base_size=31px),final template (31x31px),31x31,True,"013.tiff  (human breast cancer)  --  annotation 254, #1 (seed_index=0)"
tightening_013_254.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=91.0/255),components REFUSED: click lands on background at this Otsu cut,REFUSED click lands on background at this Otsu cut,no template (refused),,,"013.tiff  (human breast cancer)  --  annotation 254, #1 (seed_index=0)"
tightening_013_243.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=140.0/255),components REFUSED: click lands on background at this Otsu cut,REFUSED click lands on background at this Otsu cut,no template (refused),,,"013.tiff  (human breast cancer)  --  annotation 243, #2 (seed_index=1)"
tightening_013_243.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=91.0/255),components REFUSED: click lands on background at this Otsu cut,REFUSED click lands on background at this Otsu cut,no template (refused),,,"013.tiff  (human breast cancer)  --  annotation 243, #2 (seed_index=1)"
tightening_529_24918.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=152.0/255),components (label=3) area=672px solidity=0.70 ACCEPTED,tightened bbox (base_size=37px),final template (37x37px),37x37,True,"529.tiff  (human melanoma)  --  annotation 24918, #1 (seed_index=0)"
tightening_529_24918.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=84.0/255),components (label=1) area=500px solidity=0.71 ACCEPTED,tightened bbox (base_size=33px),final template (33x33px),33x33,True,"529.tiff  (human melanoma)  --  annotation 24918, #1 (seed_index=0)"
tightening_529_24937.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=132.0/255),components (label=1) area=524px solidity=0.77 ACCEPTED,tightened bbox (base_size=41px),final template (41x41px),41x41,True,"529.tiff  (human melanoma)  --  annotation 24937, #2 (seed_index=1)"
tightening_529_24937.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=92.0/255),components (label=1) area=337px solidity=0.79 ACCEPTED,tightened bbox (base_size=33px),final template (33x33px),33x33,True,"529.tiff  (human melanoma)  --  annotation 24937, #2 (seed_index=1)"
tightening_402_20254.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=147.0/255),components (label=4) area=565px solidity=0.94 ACCEPTED,tightened bbox (base_size=29px),final template (29x29px),29x29,True,"402.tiff  (human neuroendocrine tumor)  --  annotation 20254, #1 (seed_index=0)"
tightening_402_20254.png,bottom,hematoxylin_od,raw patch (51px),Otsu binary (cut=28.0/255),components (label=1) area=397px solidity=0.91 ACCEPTED,tightened bbox (base_size=25px),final template (25x25px),25x25,True,"402.tiff  (human neuroendocrine tumor)  --  annotation 20254, #1 (seed_index=0)"
tightening_402_20258.png,top,gray_inverted,raw patch (51px),Otsu binary (cut=145.0/255),components (label=2) area=1215px solidity=0.83 ACCEPTED,tightened bbox (base_size=51px),final template (51x51px),51x51,True,"402.tiff  (human neuroendocrine tumor)  --  annotation 20258, #2 (seed_index=1)"
