file_name,seed_index,condition,K,tp_delta,n_entered,n_left,entered,left
339.tiff,0,hem_bbox,10,-1,1,1,"rank7@(5311,4516) non_human_findings ann=-1","rank9@(1633,4120) human_correct_label ann=17168"
343.tiff,2,gray_bbox,10,1,1,1,"rank5@(4174,4304) human_correct_label ann=17380","rank9@(3075,3605) human_rejected_label ann=17441"
128.tiff,0,gray_bbox,10,-1,1,1,"rank1@(2707,211) human_rejected_label ann=3602","rank9@(4744,1818) human_correct_label ann=3622"
339.tiff,0,hem_bbox,20,-1,1,1,"rank7@(5311,4516) non_human_findings ann=-1","rank19@(2880,3549) human_correct_label ann=17163"
343.tiff,2,gray_bbox,20,1,1,1,"rank5@(4174,4304) human_correct_label ann=17380","rank19@(6262,4128) non_human_findings ann=-1"
201.tiff,1,gray_bbox,20,1,1,1,"rank11@(2857,4241) human_correct_label ann=4476","rank19@(6093,3317) non_human_findings ann=-1"
249.tiff,0,hem_bbox,20,-1,1,1,"rank19@(6047,657) human_rejected_label ann=7127","rank19@(4752,756) human_correct_label ann=6951"
293.tiff,1,gray_bbox,20,-1,1,1,"rank0@(1678,1387) non_human_findings ann=-1","rank19@(2438,1785) human_correct_label ann=13559"
128.tiff,0,default_51,20,1,1,1,"rank11@(4099,2512) human_correct_label ann=3631","rank19@(816,3230) non_human_findings ann=-1"
546.tiff,1,gray_bbox,20,-1,1,1,"rank16@(5175,4151) non_human_findings ann=-1","rank19@(3806,2695) human_correct_label ann=25542"
400.tiff,0,gray_bbox,20,1,1,1,"rank2@(4431,2293) human_correct_label ann=19987","rank19@(3203,1968) non_human_findings ann=-1"
343.tiff,2,gray_bbox,30,1,1,1,"rank5@(4174,4304) human_correct_label ann=17380","rank29@(358,1919) non_human_findings ann=-1"
201.tiff,1,gray_bbox,30,1,1,1,"rank11@(2857,4241) human_correct_label ann=4476","rank29@(5464,927) human_rejected_label ann=4501"
242.tiff,2,gray_bbox,30,1,1,1,"rank21@(2667,4730) human_correct_label ann=6187","rank29@(5373,436) non_human_findings ann=-1"
246.tiff,0,default_51,30,1,1,1,"rank17@(3406,1586) human_correct_label ann=6475","rank29@(3537,4276) non_human_findings ann=-1"
246.tiff,0,hem_bbox,30,1,1,1,"rank1@(289,4652) human_correct_label ann=6609","rank29@(1780,4910) non_human_findings ann=-1"
249.tiff,0,hem_bbox,30,-1,1,1,"rank19@(6047,657) human_rejected_label ann=7127","rank29@(6225,4892) human_correct_label ann=7125"
289.tiff,0,hem_bbox,30,-1,1,1,"rank7@(5237,4311) non_human_findings ann=-1","rank29@(3576,3619) human_correct_label ann=12680"
291.tiff,2,default_51,30,1,1,1,"rank26@(2111,1137) human_correct_label ann=13188","rank29@(798,4128) non_human_findings ann=-1"
293.tiff,1,gray_bbox,30,-1,1,1,"rank0@(1678,1387) non_human_findings ann=-1","rank29@(5345,542) human_correct_label ann=13545"
007.tiff,1,gray_bbox,30,1,1,1,"rank25@(3585,281) human_correct_label ann=112","rank29@(3217,3600) non_human_findings ann=-1"
128.tiff,0,default_51,30,1,1,1,"rank11@(4099,2512) human_correct_label ann=3631","rank29@(6230,3485) non_human_findings ann=-1"
353.tiff,2,default_51,30,1,1,1,"rank29@(1413,4768) human_correct_label ann=18330","rank29@(783,548) non_human_findings ann=-1"
364.tiff,1,gray_bbox,30,-1,1,1,"rank29@(6778,3912) non_human_findings ann=-1","rank29@(658,1039) human_correct_label ann=18758"
400.tiff,0,gray_bbox,30,1,1,1,"rank2@(4431,2293) human_correct_label ann=19987","rank29@(1086,1113) human_rejected_label ann=19932"
