file_name,ann_id,channel,area,area_frac,solidity,base_size,bbox_h,bbox_w,bbox_touches_window_edge,base_size_at_window_ceiling
300.tiff,14581,gray_inverted,1126.0,0.433,0.8002842928216063,45.0,45.0,43.0,False,False
300.tiff,14575,gray_inverted,435.0,0.167,0.7712765957446809,33.0,32.0,29.0,False,False
300.tiff,14575,hematoxylin_od,149.0,0.057,0.8418079096045198,19.0,18.0,15.0,False,False
201.tiff,4457,gray_inverted,1592.0,0.612,0.7442730247779337,51.0,50.0,51.0,True,True
201.tiff,4457,hematoxylin_od,347.0,0.133,0.7139917695473251,29.0,29.0,27.0,False,False
201.tiff,4469,gray_inverted,1247.0,0.479,0.6191658391261172,51.0,51.0,45.0,True,True
201.tiff,4469,hematoxylin_od,336.0,0.129,0.7924528301886793,31.0,30.0,23.0,False,False
245.tiff,6274,gray_inverted,1258.0,0.484,0.735672514619883,47.0,47.0,45.0,True,False
245.tiff,6243,gray_inverted,1276.0,0.491,0.7026431718061674,51.0,49.0,51.0,True,True
245.tiff,6243,hematoxylin_od,416.0,0.16,0.6864686468646864,35.0,34.0,28.0,True,False
459.tiff,22441,gray_inverted,652.0,0.251,0.8763440860215054,33.0,32.0,32.0,False,False
459.tiff,22441,hematoxylin_od,606.0,0.233,0.8859649122807017,31.0,29.0,31.0,False,False
459.tiff,22446,gray_inverted,838.0,0.322,0.8784067085953878,41.0,37.0,41.0,False,False
459.tiff,22446,hematoxylin_od,748.0,0.288,0.8451977401129943,39.0,35.0,39.0,False,False
013.tiff,254,gray_inverted,582.0,0.224,0.8447024673439768,31.0,31.0,30.0,False,False
529.tiff,24918,gray_inverted,672.0,0.258,0.6985446985446986,37.0,35.0,37.0,False,False
529.tiff,24918,hematoxylin_od,500.0,0.192,0.7062146892655368,33.0,32.0,30.0,False,False
529.tiff,24937,gray_inverted,524.0,0.201,0.7660818713450293,41.0,25.0,40.0,False,False
529.tiff,24937,hematoxylin_od,337.0,0.13,0.7910798122065728,33.0,18.0,32.0,False,False
402.tiff,20254,gray_inverted,565.0,0.217,0.9369817578772802,29.0,28.0,27.0,False,False
402.tiff,20254,hematoxylin_od,397.0,0.153,0.9084668192219679,25.0,25.0,23.0,False,False
402.tiff,20258,gray_inverted,1215.0,0.467,0.8254076086956522,51.0,51.0,37.0,True,True
402.tiff,20258,hematoxylin_od,545.0,0.21,0.9128978224455612,33.0,32.0,26.0,False,False
