file_name,seed_index,seed_ann_id,margin_px,rect_y0,rect_y1,rect_x0,rect_x1,rect_h,rect_w,rectm_y0,rectm_y1,rectm_x0,rectm_x1,rectm_h,rectm_w,grow_top,grow_bottom,grow_left,grow_right,n_filled_px,filled_share,fill_value,n_filled_px_1um,filled_share_1um,fill_value_1um,tpl_mean_default,tpl_mean_filled,tpl_mean_filled_1um
300.tiff,0,14499,4,17,42,20,33,25,13,13,46,16,37,33,21,4,4,4,4,2276,0.8750480584390619,0.022253340110182762,1908,0.7335640138408305,0.02157657779753208,0.035656892054780454,0.03565689138437935,0.035656892563269114
300.tiff,1,14578,4,16,30,13,34,14,21,12,34,9,38,22,29,4,4,4,4,2307,0.8869665513264129,0.018016451969742775,1963,0.7547097270280662,0.01856941729784012,0.025802391446159346,0.025802390679096898,0.025802391481539073
300.tiff,2,14553,4,16,37,15,40,21,25,12,41,11,44,29,33,4,4,4,4,2076,0.798154555940023,0.015333840623497963,1644,0.6320645905420992,0.012965726666152477,0.03194723797773635,0.03194723814994065,0.03194723774680197
301.tiff,0,14969,4,14,46,12,39,32,27,10,50,8,43,40,35,4,4,4,4,1737,0.6678200692041523,0.028485409915447235,1201,0.4617454825067282,0.030680116266012192,0.03648365282797382,0.03648365261637801,0.036483652429927745
301.tiff,1,14874,4,11,35,12,37,24,25,7,39,8,41,32,33,4,4,4,4,2001,0.7693194925028836,0.019851889461278915,1545,0.5940023068050749,0.020020367577672005,0.03222160444392323,0.03222160385301812,0.032221604442222426
301.tiff,2,14782,4,23,33,17,36,10,19,19,37,13,40,18,27,4,4,4,4,2411,0.9269511726259131,0.023468809202313423,2115,0.8131487889273357,0.024489587172865868,0.02568326612393372,0.025683266304609514,0.02568326570164215
322.tiff,0,16292,4,12,36,16,40,24,24,8,40,12,44,32,32,4,4,4,4,2025,0.7785467128027682,0.014484677463769913,1577,0.6063052672049212,0.012993266806006432,0.036003164726984165,0.03600316457285681,0.036003164890436555
322.tiff,1,16270,4,13,42,17,33,29,16,9,46,13,37,37,24,4,4,4,4,2137,0.8216070742022299,0.019621718674898148,1713,0.6585928489042676,0.017644962295889854,0.03747410988369257,0.037474109579044367,0.037474109473228975
322.tiff,2,16265,4,12,39,19,35,27,16,8,43,15,39,35,24,4,4,4,4,2169,0.8339100346020761,0.016378246247768402,1761,0.6770472895040369,0.015842875465750694,0.04027168924764808,0.040271689777857965,0.04027168935727909
337.tiff,0,17124,4,18,37,17,32,19,15,14,41,13,36,27,23,4,4,4,4,2316,0.8904267589388697,0.019117657095193863,1980,0.7612456747404844,0.018292102962732315,0.029174938064653943,0.029174937325863112,0.029174937573531002
337.tiff,1,17129,4,19,32,16,36,13,20,15,36,12,40,21,28,4,4,4,4,2341,0.9000384467512496,0.012794175185263157,2013,0.7739331026528259,0.011880265548825264,0.019376435126538187,0.019376435481987232,0.019376434838872025
337.tiff,2,17118,4,17,37,17,37,20,20,13,41,13,41,28,28,4,4,4,4,2201,0.8462129950019224,0.015923406928777695,1817,0.6985774702037678,0.013595422729849815,0.027257258278675568,0.027257258033018983,0.02725725818018299
339.tiff,0,17152,4,10,34,9,40,24,31,6,38,5,44,32,39,4,4,4,4,1857,0.7139561707035755,0.008451947011053562,1353,0.5201845444059977,0.00766336964443326,0.026740713336377817,0.026740713154615948,0.026740713332681094
339.tiff,1,17149,4,13,44,11,36,31,25,9,48,7,40,39,33,4,4,4,4,1826,0.7020376778162245,0.011381865479052067,1314,0.5051903114186851,0.012033252976834774,0.02934104726619307,0.02934104702902091,0.02934104723910195
339.tiff,2,17151,4,22,30,18,37,8,19,18,34,14,41,16,27,4,4,4,4,2449,0.9415609381007305,0.0072001866064965725,2169,0.8339100346020761,0.0071563743986189365,0.01202566587125106,0.012025665983261226,0.012025665850394574
343.tiff,0,17382,4,18,38,7,27,20,20,14,42,3,31,28,28,4,4,4,4,2201,0.8462129950019224,0.026896443217992783,1817,0.6985774702037678,0.027773970738053322,0.03546035409924145,0.03546035415330341,0.03546035353625968
343.tiff,1,17363,4,21,35,16,34,14,18,17,39,12,38,22,26,4,4,4,4,2349,0.903114186851211,0.0173353161662817,2029,0.780084582852749,0.017394574359059334,0.021226439850014413,0.021226440169661413,0.021226440543378765
343.tiff,2,17368,4,13,36,21,33,23,12,9,40,17,37,31,20,4,4,4,4,2325,0.8938869665513264,0.015479527413845062,1981,0.7616301422529796,0.014755195938050747,0.026667078045747947,0.026667077748498084,0.026667077743475407
344.tiff,0,17457,4,18,37,16,35,19,19,14,41,12,39,27,27,4,4,4,4,2240,0.8612072279892349,0.018264135345816612,1872,0.7197231833910035,0.017868217080831528,0.033497033266266865,0.033497033187165653,0.03349703376302091
344.tiff,1,17469,4,17,33,14,34,16,20,13,37,10,38,24,28,4,4,4,4,2281,0.8769703960015379,0.01926523633301258,1929,0.7416378316032295,0.01847468689084053,0.032866200882784406,0.03286620020319989,0.032866201050830775
344.tiff,2,17460,4,17,37,16,35,20,19,13,41,12,39,28,27,4,4,4,4,2221,0.8539023452518262,0.017942186444997787,1845,0.7093425605536332,0.018152503296732903,0.03018497358041319,0.030184972973181415,0.030184973334125977
201.tiff,0,4457,4,11,40,7,34,29,27,7,44,3,38,37,35,4,4,4,4,1818,0.698961937716263,0.041272763162851334,1306,0.5021145713187236,0.039839230477809906,0.05707690085725658,0.05707690091585028,0.057076900423462924
201.tiff,1,4469,4,11,41,12,35,30,23,7,45,8,39,38,31,4,4,4,4,1911,0.734717416378316,0.05434849113225937,1423,0.5470972702806612,0.057370543479919434,0.07334817509400986,0.07334817415414831,0.07334817569489178
201.tiff,2,4476,4,13,39,8,41,26,33,9,43,4,45,34,41,4,4,4,4,1743,0.6701268742791234,0.040064334869384766,1207,0.46405228758169936,0.045563552528619766,0.06843562823102303,0.06843562711483911,0.06843562811916742
