check,label,n,max_abs_diff,passed,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_items,caps,min_distance,radius,n_direct,n_filtered,used_radius,expected_radius,mpp,n_cells,n_rois,max_abs_recall_diff,max_abs_ndet_diff
no_cap,300.tiff/tm_score@r5.9,,,True,,,,,20411.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.9,,,True,,,,,20411.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.9,,,True,,,,,18076.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.9,,,True,,,,,18076.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.9,,,True,,,,,15680.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.9,,,True,,,,,15680.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.9,,,True,,,,,12883.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.9,,,True,,,,,12883.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.9,,,True,,,,,9746.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.9,,,True,,,,,9746.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.9,,,True,,,,,6381.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.9,,,True,,,,,6381.0,"(2000000,)",,,,,,,,,,,
min_separation,300.tiff/si1/r5.0,24104.0,,True,,,,,,,19.79898987322333,19.73937007874016,,,,,,,,,
no_cap,300.tiff/tm_score@r5.0,,,True,,,,,21938.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.0,,,True,,,,,21938.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.0,,,True,,,,,19096.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.0,,,True,,,,,19096.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.0,,,True,,,,,16300.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.0,,,True,,,,,16300.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.0,,,True,,,,,13229.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.0,,,True,,,,,13229.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.0,,,True,,,,,9906.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.0,,,True,,,,,9906.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/tm_score@r5.0,,,True,,,,,6445.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/chromatin_od@r5.0,,,True,,,,,6445.0,"(2000000,)",,,,,,,,,,,
no_cap,300.tiff/si2/deep_pool,,,True,,,,,27158.0,"(2000000,)",,,,,,,,,,,
min_separation,300.tiff/si2/r7.5,17652.0,,True,,,,,,,29.614185789921695,29.609055118110238,,,,,,,,,
no_cap,300.tiff/tm_score@r7.5,,,True,,,,,16549.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,300.tiff/chromatin_od@r7.5,,,True,,,,,16549.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,300.tiff/tm_score@r7.5,,,True,,,,,15305.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,300.tiff/chromatin_od@r7.5,,,True,,,,,15305.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,300.tiff/tm_score@r7.5,,,True,,,,,14141.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,300.tiff/chromatin_od@r7.5,,,True,,,,,14141.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,300.tiff/tm_score@r7.5,,,True,,,,,12753.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,300.tiff/chromatin_od@r7.5,,,True,,,,,12753.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/chromatin_od@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
no_cap,300.tiff/tm_score@r7.5,,,True,,,,,10982.0,"(2000000,)",,,,,,,,,,,
nms_radius,300.tiff/tm_score@r7.5,,,True,,,,,,,,,,,29.609055118110238,29.609055118110238,0.2533008895448562,,,,
