table,key,column,notebook,audit,match,note
RAW,013.tiff/hem_bbox/tm_score/K10,precision_at_budget,0.6,0.6,True,
RAW,013.tiff/hem_bbox/tm_score/K10,recall_at_budget,0.3529411764705882,0.35294117647058826,True,
RAW,013.tiff/hem_bbox/tm_score/K10,budget_delivered,10,10,True,
RAW,013.tiff/hem_bbox/tm_score/K10,tp_at_budget <= budget_delivered,True,True,True,
RAW,013.tiff/hem_bbox/tm_score/K20,precision_at_budget,0.3,0.3,True,
RAW,013.tiff/hem_bbox/tm_score/K20,recall_at_budget,0.3529411764705882,0.35294117647058826,True,
RAW,013.tiff/hem_bbox/tm_score/K20,budget_delivered,20,20,True,
RAW,013.tiff/hem_bbox/tm_score/K20,tp_at_budget <= budget_delivered,True,True,True,
RAW,013.tiff/hem_bbox/tm_score/K30,precision_at_budget,0.2333333333333333,0.23333333333333334,True,
RAW,013.tiff/hem_bbox/tm_score/K30,recall_at_budget,0.4117647058823529,0.4117647058823529,True,
RAW,013.tiff/hem_bbox/tm_score/K30,budget_delivered,30,30,True,
RAW,013.tiff/hem_bbox/tm_score/K30,tp_at_budget <= budget_delivered,True,True,True,
RAW,013.tiff/hem_bbox/tm_score/K50,precision_at_budget,0.14,0.14,True,
RAW,013.tiff/hem_bbox/tm_score/K50,recall_at_budget,0.4117647058823529,0.4117647058823529,True,
RAW,013.tiff/hem_bbox/tm_score/K50,budget_delivered,50,50,True,
RAW,013.tiff/hem_bbox/tm_score/K50,tp_at_budget <= budget_delivered,True,True,True,
RAW,013.tiff/hem_bbox/chromatin_od/K10,precision_at_budget,0.6,0.6,True,
RAW,013.tiff/hem_bbox/chromatin_od/K10,recall_at_budget,0.3529411764705882,0.35294117647058826,True,
RAW,013.tiff/hem_bbox/chromatin_od/K10,budget_delivered,10,10,True,
RAW,013.tiff/hem_bbox/chromatin_od/K10,tp_at_budget <= budget_delivered,True,True,True,
RAW,013.tiff/hem_bbox/chromatin_od/K20,precision_at_budget,0.45,0.45,True,
RAW,013.tiff/hem_bbox/chromatin_od/K20,recall_at_budget,0.5294117647058824,0.5294117647058824,True,
RAW,013.tiff/hem_bbox/chromatin_od/K20,budget_delivered,20,20,True,
RAW,013.tiff/hem_bbox/chromatin_od/K20,tp_at_budget <= budget_delivered,True,True,True,
RAW,013.tiff/hem_bbox/chromatin_od/K30,precision_at_budget,0.3333333333333333,0.3333333333333333,True,
RAW,013.tiff/hem_bbox/chromatin_od/K30,recall_at_budget,0.5882352941176471,0.5882352941176471,True,
RAW,013.tiff/hem_bbox/chromatin_od/K30,budget_delivered,30,30,True,
RAW,013.tiff/hem_bbox/chromatin_od/K30,tp_at_budget <= budget_delivered,True,True,True,
RAW,013.tiff/hem_bbox/chromatin_od/K50,precision_at_budget,0.2,0.2,True,
RAW,013.tiff/hem_bbox/chromatin_od/K50,recall_at_budget,0.5882352941176471,0.5882352941176471,True,
RAW,013.tiff/hem_bbox/chromatin_od/K50,budget_delivered,50,50,True,
