domain,arm,n_roi,K,tp_sum,delivered_sum,precision_pooled,precision_worst_roi,worst_roi_file
canine lung cancer,od_falloff,2,20,7,40,0.175,0.15,201.tiff
canine lung cancer,od_falloff,2,30,10,60,0.1667,0.1333,201.tiff
canine lung cancer,od_falloff,2,50,16,100,0.16,0.12,201.tiff
canine lung cancer,tm_score,2,10,7,20,0.35,0.3,201.tiff
canine lung cancer,tm_score,2,20,12,40,0.3,0.25,201.tiff
canine lung cancer,tm_score,2,30,13,60,0.2167,0.2,201.tiff
canine lung cancer,tm_score,2,50,21,100,0.21,0.2,233.tiff
canine lymphosarcoma,chromatin_od,2,10,11,20,0.55,0.1,245.tiff
canine lymphosarcoma,chromatin_od,2,20,21,40,0.525,0.1,245.tiff
canine lymphosarcoma,chromatin_od,2,30,28,60,0.4667,0.1,245.tiff
canine lymphosarcoma,chromatin_od,2,50,39,100,0.39,0.14,245.tiff
canine lymphosarcoma,mask_od_mean,2,10,6,20,0.3,0.1,245.tiff
canine lymphosarcoma,mask_od_mean,2,20,14,40,0.35,0.15,245.tiff
canine lymphosarcoma,mask_od_mean,2,30,22,60,0.3667,0.2,245.tiff
canine lymphosarcoma,mask_od_mean,2,50,36,100,0.36,0.2,245.tiff
canine lymphosarcoma,od31,2,10,9,20,0.45,0.0,245.tiff
canine lymphosarcoma,od31,2,20,18,40,0.45,0.05,245.tiff
canine lymphosarcoma,od31,2,30,28,60,0.4667,0.1333,245.tiff
canine lymphosarcoma,od31,2,50,44,100,0.44,0.2,245.tiff
canine lymphosarcoma,od_contrast,2,10,11,20,0.55,0.1,245.tiff
canine lymphosarcoma,od_contrast,2,20,22,40,0.55,0.1,245.tiff
canine lymphosarcoma,od_contrast,2,30,25,60,0.4167,0.0667,245.tiff
canine lymphosarcoma,od_contrast,2,50,39,100,0.39,0.08,245.tiff
canine lymphosarcoma,od_falloff,2,10,7,20,0.35,0.0,245.tiff
canine lymphosarcoma,od_falloff,2,20,15,40,0.375,0.05,245.tiff
canine lymphosarcoma,od_falloff,2,30,22,60,0.3667,0.0667,245.tiff
canine lymphosarcoma,od_falloff,2,50,36,100,0.36,0.12,245.tiff
canine lymphosarcoma,tm_score,2,10,11,20,0.55,0.1,245.tiff
canine lymphosarcoma,tm_score,2,20,19,40,0.475,0.05,245.tiff
canine lymphosarcoma,tm_score,2,30,25,60,0.4167,0.0333,245.tiff
canine lymphosarcoma,tm_score,2,50,36,100,0.36,0.08,245.tiff
canine soft tissue sarcoma,chromatin_od,2,10,16,20,0.8,0.7,460.tiff
canine soft tissue sarcoma,chromatin_od,2,20,29,40,0.725,0.6,460.tiff
canine soft tissue sarcoma,chromatin_od,2,30,41,60,0.6833,0.5333,460.tiff
canine soft tissue sarcoma,chromatin_od,2,50,61,100,0.61,0.4,460.tiff
canine soft tissue sarcoma,mask_od_mean,2,10,5,20,0.25,0.2,460.tiff
canine soft tissue sarcoma,mask_od_mean,2,20,16,40,0.4,0.4,459.tiff
canine soft tissue sarcoma,mask_od_mean,2,30,21,60,0.35,0.3333,460.tiff
canine soft tissue sarcoma,mask_od_mean,2,50,33,100,0.33,0.28,460.tiff
canine soft tissue sarcoma,od31,2,10,13,20,0.65,0.6,459.tiff
canine soft tissue sarcoma,od31,2,20,20,40,0.5,0.45,460.tiff
canine soft tissue sarcoma,od31,2,30,29,60,0.4833,0.4333,460.tiff
canine soft tissue sarcoma,od31,2,50,43,100,0.43,0.36,460.tiff
canine soft tissue sarcoma,od_contrast,2,10,17,20,0.85,0.7,459.tiff
canine soft tissue sarcoma,od_contrast,2,20,29,40,0.725,0.7,460.tiff
canine soft tissue sarcoma,od_contrast,2,30,38,60,0.6333,0.5333,460.tiff
canine soft tissue sarcoma,od_contrast,2,50,51,100,0.51,0.36,460.tiff
canine soft tissue sarcoma,od_falloff,2,10,2,20,0.1,0.1,459.tiff
canine soft tissue sarcoma,od_falloff,2,20,4,40,0.1,0.05,460.tiff
canine soft tissue sarcoma,od_falloff,2,30,7,60,0.1167,0.1,460.tiff
canine soft tissue sarcoma,od_falloff,2,50,10,100,0.1,0.08,459.tiff
canine soft tissue sarcoma,tm_score,2,10,12,20,0.6,0.5,459.tiff
canine soft tissue sarcoma,tm_score,2,20,21,40,0.525,0.5,459.tiff
canine soft tissue sarcoma,tm_score,2,30,28,60,0.4667,0.4333,460.tiff
canine soft tissue sarcoma,tm_score,2,50,41,100,0.41,0.34,460.tiff
human breast cancer,chromatin_od,2,10,10,20,0.5,0.5,013.tiff
human breast cancer,chromatin_od,2,20,23,40,0.575,0.4,013.tiff
human breast cancer,chromatin_od,2,30,32,60,0.5333,0.4,013.tiff
human breast cancer,chromatin_od,2,50,45,100,0.45,0.26,013.tiff
human breast cancer,mask_od_mean,2,10,6,20,0.3,0.3,013.tiff
human breast cancer,mask_od_mean,2,20,14,40,0.35,0.3,013.tiff
human breast cancer,mask_od_mean,2,30,19,60,0.3167,0.2,013.tiff
human breast cancer,mask_od_mean,2,50,33,100,0.33,0.2,013.tiff
human breast cancer,od31,2,10,10,20,0.5,0.5,013.tiff
human breast cancer,od31,2,20,20,40,0.5,0.35,013.tiff
human breast cancer,od31,2,30,30,60,0.5,0.3333,013.tiff
human breast cancer,od31,2,50,45,100,0.45,0.24,013.tiff
human breast cancer,od_contrast,2,10,9,20,0.45,0.4,013.tiff
human breast cancer,od_contrast,2,20,21,40,0.525,0.3,013.tiff
human breast cancer,od_contrast,2,30,30,60,0.5,0.2667,013.tiff
human breast cancer,od_contrast,2,50,44,100,0.44,0.24,013.tiff
human breast cancer,od_falloff,2,10,5,20,0.25,0.1,013.tiff
human breast cancer,od_falloff,2,20,13,40,0.325,0.15,013.tiff
human breast cancer,od_falloff,2,30,17,60,0.2833,0.1333,013.tiff
human breast cancer,od_falloff,2,50,25,100,0.25,0.1,013.tiff
human breast cancer,tm_score,2,10,9,20,0.45,0.4,013.tiff
human breast cancer,tm_score,2,20,15,40,0.375,0.25,013.tiff
human breast cancer,tm_score,2,30,22,60,0.3667,0.2,013.tiff
human breast cancer,tm_score,2,50,34,100,0.34,0.18,013.tiff
human melanoma,chromatin_od,2,10,15,20,0.75,0.6,529.tiff
human melanoma,chromatin_od,2,20,25,40,0.625,0.45,529.tiff
human melanoma,chromatin_od,2,30,33,60,0.55,0.3667,529.tiff
human melanoma,chromatin_od,2,50,50,100,0.5,0.24,529.tiff
human melanoma,mask_od_mean,2,10,7,20,0.35,0.3,548.tiff
human melanoma,mask_od_mean,2,20,14,40,0.35,0.3,548.tiff
human melanoma,mask_od_mean,2,30,23,60,0.3833,0.3667,529.tiff
human melanoma,mask_od_mean,2,50,32,100,0.32,0.24,529.tiff
human melanoma,od31,2,10,10,20,0.5,0.5,529.tiff
human melanoma,od31,2,20,25,40,0.625,0.5,529.tiff
human melanoma,od31,2,30,34,60,0.5667,0.4,529.tiff
human melanoma,od31,2,50,43,100,0.43,0.24,529.tiff
human melanoma,od_contrast,2,10,15,20,0.75,0.6,529.tiff
human melanoma,od_contrast,2,20,27,40,0.675,0.55,529.tiff
human melanoma,od_contrast,2,30,36,60,0.6,0.4,529.tiff
human melanoma,od_contrast,2,50,52,100,0.52,0.24,529.tiff
human melanoma,od_falloff,2,10,5,20,0.25,0.2,548.tiff
human melanoma,od_falloff,2,20,12,40,0.3,0.2,529.tiff
human melanoma,od_falloff,2,30,18,60,0.3,0.1667,529.tiff
human melanoma,od_falloff,2,50,27,100,0.27,0.12,529.tiff
human melanoma,tm_score,2,10,9,20,0.45,0.4,529.tiff
human melanoma,tm_score,2,20,16,40,0.4,0.2,529.tiff
human melanoma,tm_score,2,30,21,60,0.35,0.1667,529.tiff
human melanoma,tm_score,2,50,37,100,0.37,0.12,529.tiff
human neuroendocrine tumor,chromatin_od,2,10,12,20,0.6,0.5,403.tiff
human neuroendocrine tumor,chromatin_od,2,20,24,40,0.6,0.55,402.tiff
human neuroendocrine tumor,chromatin_od,2,30,30,60,0.5,0.4667,403.tiff
human neuroendocrine tumor,chromatin_od,2,50,46,100,0.46,0.44,403.tiff
human neuroendocrine tumor,mask_od_mean,2,10,12,20,0.6,0.6,402.tiff
human neuroendocrine tumor,mask_od_mean,2,20,19,40,0.475,0.45,402.tiff
human neuroendocrine tumor,mask_od_mean,2,30,30,60,0.5,0.4667,402.tiff
human neuroendocrine tumor,mask_od_mean,2,50,45,100,0.45,0.42,402.tiff
human neuroendocrine tumor,od31,2,10,10,20,0.5,0.5,402.tiff
human neuroendocrine tumor,od31,2,20,20,40,0.5,0.5,402.tiff
human neuroendocrine tumor,od31,2,30,30,60,0.5,0.4333,402.tiff
human neuroendocrine tumor,od31,2,50,42,100,0.42,0.4,403.tiff
human neuroendocrine tumor,od_contrast,2,10,10,20,0.5,0.4,402.tiff
human neuroendocrine tumor,od_contrast,2,20,20,40,0.5,0.4,402.tiff
human neuroendocrine tumor,od_contrast,2,30,32,60,0.5333,0.5333,402.tiff
human neuroendocrine tumor,od_contrast,2,50,45,100,0.45,0.36,403.tiff
human neuroendocrine tumor,od_falloff,2,10,2,20,0.1,0.0,403.tiff
human neuroendocrine tumor,od_falloff,2,20,5,40,0.125,0.0,403.tiff
human neuroendocrine tumor,od_falloff,2,30,6,60,0.1,0.0,403.tiff
human neuroendocrine tumor,od_falloff,2,50,14,100,0.14,0.04,403.tiff
human neuroendocrine tumor,tm_score,2,10,7,20,0.35,0.3,402.tiff
human neuroendocrine tumor,tm_score,2,20,16,40,0.4,0.35,403.tiff
human neuroendocrine tumor,tm_score,2,30,24,60,0.4,0.3,403.tiff
human neuroendocrine tumor,tm_score,2,50,38,100,0.38,0.3,403.tiff
