section,quantity,n_compared,n_divergent,max_abs_diff,tolerance,independence
rescore,mpp from TIFF tags,441,0,0.0,1e-09,independent
rescore,match radius px,441,0,0.0,1e-09,independent
rescore,tp_at_10 (441 runs),441,0,0.0,0.0,independent
rescore,tp_at_20 (441 runs),441,0,0.0,0.0,independent
rescore,tp_at_30 (441 runs),441,0,0.0,0.0,independent
rescore,"bucket (13,230 top-30 rows)",13230,0,,0.0,independent
rescore,"matched_ann_id (13,230 top-30 rows)",13230,0,0.0,0.0,independent
rescore,n_gt_mitotic,441,0,0.0,0.0,independent
rescore,nearest_other_ann_px,441,0,0.0,0.011,independent
rescore,tpl_offset_px,441,0,0.0,0.0011,independent
rescore,seed_is_mitotic (all True),441,0,0.0,0.0,independent
rescore,seed_is_unanimous (all True),441,0,0.0,0.0,independent
rescore,seed_click_matches (all True),441,0,0.0,0.0,independent
rescore,seed_border_ok (all True),441,0,0.0,0.0,independent
rescore,tpl_patch_readable (all True),441,0,0.0,0.0,independent
rescore,od_descending (all True),441,0,0.0,0.0,independent
rescore,base_odd (all True),441,0,0.0,0.0,independent
rescore,base_le_51 (all True),441,0,0.0,0.0,independent
rescore,od NaN count (all 0),441,0,0.0,0.0,independent
rescore,default_51 base 51 and template == click,147,0,0.0,0.0,independent
rescore,"Gate C: one ann and one n_gt per (ROI, click)",147,0,0.0,0.0,independent
rescore,Gate C: 3 distinct clicks per ROI,49,0,0.0,0.0,independent
tables,per_roi tp_at_10,147,0,0.0,0.0,independent
tables,per_roi precision_at_10,147,0,0.0,1e-12,independent
tables,per_roi tp_at_20,147,0,0.0,0.0,independent
tables,per_roi precision_at_20,147,0,0.0,1e-12,independent
tables,per_roi tp_at_30,147,0,0.0,0.0,independent
tables,per_roi precision_at_30,147,0,0.0,1e-12,independent
tables,summary tp_sum,27,0,0.0,0.0,independent
tables,summary precision_pooled,27,0,0.0,1e-09,independent
tables,summary worst_roi_precision,27,0,0.0,1e-09,independent
tables,summary n_roi_at_worst,27,0,0.0,0.0,independent
tables,summary worst_roi_files,27,0,,0.0,independent
tables,summary best_roi_precision,27,0,0.0,1e-09,independent
tables,summary worst_click_precision,27,0,0.0,1e-09,independent
tables,summary n_clicks_at_worst,27,0,0.0,0.0,independent
tables,by_domain tp_sum,63,0,0.0,0.0,independent
tables,by_domain precision_pooled,63,0,0.0,1e-09,independent
tables,by_domain worst_roi_precision,63,0,0.0,1e-09,independent
tables,by_domain worst_click_precision,63,0,0.0,1e-09,independent
tables,by_seed tp_sum,81,0,0.0,0.0,independent
