check,label,n_gt,n_excluded,n_excluded_strict,excluded_ann_ids,passed,n_items,caps,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_direct,n_filtered,file_name,seed_index,method,z
tissue_mask_covers_gt,300.tiff,266.0,0.0,0.0,,True,,,,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,15363.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,15363.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,9901.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccorr,,,,,True,9901.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_od,,,,,True,9901.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr@matched,,,,,True,9901.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,9901.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,14186.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,14186.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,8568.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccorr,,,,,True,8568.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_od,,,,,True,8568.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr@matched,,,,,True,8568.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,8568.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,14977.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,14977.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,10512.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccorr,,,,,True,10512.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_od,,,,,True,10512.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr@matched,,,,,True,10512.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_od,,,,,True,17376.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native@matched,,,,,True,10512.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccoeff,,,,,True,15977.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff_od,,,,,True,15977.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccoeff@matched,,,,,True,11111.0,(),,,,,,,,,,
no_cap,300.tiff/tm_ccorr,,,,,True,11111.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr_od,,,,,True,11111.0,"(250000, 1000000000)",,,,,,,,,,
no_cap,300.tiff/tm_ccorr@matched,,,,,True,11111.0,(),,,,,,,,,,
no_cap,300.tiff/blob_native,,,,,True,17376.0,(),,,,,,,,,,
