cx,cy,score,od,file_name,condition,rank
3116.0,1382.0,6.262076377868652,0.22648033304856374,013.tiff,default_51,0
5009.0,4566.0,7.374579429626465,0.21892689970823434,013.tiff,default_51,1
457.0,4107.0,7.1423211097717285,0.21609085311110204,013.tiff,default_51,2
3724.0,5367.0,5.851863861083984,0.203227305240356,013.tiff,default_51,3
2533.0,156.0,5.518102169036865,0.1941522896862947,013.tiff,default_51,4
5260.0,3974.0,4.013988971710205,0.19117221385240554,013.tiff,default_51,5
164.0,665.0,4.661531925201416,0.18850206108047413,013.tiff,default_51,6
7030.0,4601.0,4.0828046798706055,0.1882115266357477,013.tiff,default_51,7
5242.0,1971.0,6.382638931274414,0.18448782144830778,013.tiff,default_51,8
5569.0,5243.0,5.049673080444336,0.18144857201438683,013.tiff,default_51,9
4898.0,4451.0,4.93878173828125,0.17157401769207073,013.tiff,default_51,10
5324.0,2234.0,5.387725830078125,0.16946127173992304,013.tiff,default_51,11
5905.0,4965.0,4.281331539154053,0.16936577753378795,013.tiff,default_51,12
6369.0,2361.0,5.781930923461914,0.16588782324240758,013.tiff,default_51,13
4626.0,2661.0,5.873546600341797,0.16452290043234824,013.tiff,default_51,14
3105.0,571.0,3.9197330474853516,0.16259642538542932,013.tiff,default_51,15
5963.0,4913.0,6.462803363800049,0.16200725986407352,013.tiff,default_51,16
6748.0,4210.0,4.544041156768799,0.15846531448455958,013.tiff,default_51,17
6003.0,4495.0,4.330967903137207,0.15845306942669246,013.tiff,default_51,18
6007.0,4870.0,5.727900981903076,0.15758708256941575,013.tiff,default_51,19
6681.0,5394.0,5.275102138519287,0.15712958367971275,013.tiff,default_51,20
2603.0,3915.0,4.992994785308838,0.15711603588782824,013.tiff,default_51,21
3998.0,2383.0,4.548429489135742,0.15700918722611207,013.tiff,default_51,22
6820.0,3775.0,4.214770317077637,0.1557410624737923,013.tiff,default_51,23
3581.0,4643.0,5.3849592208862305,0.1555982805788517,013.tiff,default_51,24
308.0,4189.0,4.288158416748047,0.15517860897458516,013.tiff,default_51,25
3067.0,4945.0,5.026408672332764,0.1538358105489841,013.tiff,default_51,26
6249.0,4995.0,4.343173980712891,0.1530571327186548,013.tiff,default_51,27
1076.0,4359.0,4.146870136260986,0.14867124998798736,013.tiff,default_51,28
6931.0,4131.0,5.36366605758667,0.14680981828043094,013.tiff,default_51,29
6646.0,3985.0,3.9015085697174072,0.14561526431487157,013.tiff,default_51,30
735.0,4630.0,4.649752140045166,0.14389082348117463,013.tiff,default_51,31
444.0,5391.0,4.6563544273376465,0.14345232173800468,013.tiff,default_51,32
3035.0,4802.0,5.338897228240967,0.14219030199142602,013.tiff,default_51,33
4958.0,4983.0,4.302846908569336,0.1418694824553453,013.tiff,default_51,34
3767.0,5174.0,5.4791460037231445,0.14159756199671672,013.tiff,default_51,35
2017.0,3860.0,4.32338285446167,0.14083344747240728,013.tiff,default_51,36
4924.0,4613.0,4.557161331176758,0.14082111143148862,013.tiff,default_51,37
5720.0,4056.0,4.352015495300293,0.14072289747687486,013.tiff,default_51,38
5280.0,4259.0,4.2223687171936035,0.14067041945572084,013.tiff,default_51,39
3647.0,4888.0,4.3997883796691895,0.1401813908838309,013.tiff,default_51,40
5815.0,4969.0,4.00969123840332,0.13919457982365901,013.tiff,default_51,41
388.0,3882.0,4.66878080368042,0.13917343828540582,013.tiff,default_51,42
2432.0,4282.0,4.4079766273498535,0.13890822982558837,013.tiff,default_51,43
2955.0,550.0,4.596901893615723,0.1384008756910379,013.tiff,default_51,44
5329.0,4415.0,4.754557132720947,0.13821429936931684,013.tiff,default_51,45
412.0,705.0,4.567235469818115,0.13789628388789985,013.tiff,default_51,46
6606.0,4170.0,4.051980018615723,0.1375318358723934,013.tiff,default_51,47
1862.0,1400.0,4.087813854217529,0.13741275628025715,013.tiff,default_51,48
6947.0,3684.0,4.2697882652282715,0.13739100439617266,013.tiff,default_51,49
5760.0,4072.0,3.996188163757324,0.13652534562234694,013.tiff,default_51,50
6048.0,4290.0,4.335188388824463,0.13528141382221992,013.tiff,default_51,51
6910.0,357.0,4.001228332519531,0.13494440340078795,013.tiff,default_51,52
3382.0,4257.0,4.185332298278809,0.1347542009388025,013.tiff,default_51,53
5742.0,3044.0,4.298295021057129,0.1334845570417551,013.tiff,default_51,54
3119.0,4820.0,4.769148826599121,0.13328066281974316,013.tiff,default_51,55
4406.0,4344.0,3.971677303314209,0.13294638842344284,013.tiff,default_51,56
2060.0,4962.0,4.827695369720459,0.13182985180845627,013.tiff,default_51,57
6376.0,3731.0,4.462123394012451,0.1314971915517862,013.tiff,default_51,58
1451.0,3599.0,4.547975063323975,0.13125522812971702,013.tiff,default_51,59
398.0,4620.0,4.300742149353027,0.13062336224202925,013.tiff,default_51,60
4932.0,4395.0,4.006447792053223,0.12950664589611383,013.tiff,default_51,61
5170.0,5118.0,4.379445552825928,0.12873970404840432,013.tiff,default_51,62
6934.0,4458.0,3.915722131729126,0.1285740670389854,013.tiff,default_51,63
2843.0,3890.0,4.6444010734558105,0.1285130795951073,013.tiff,default_51,64
1878.0,1089.0,4.699667930603027,0.1275535041036514,013.tiff,default_51,65
3029.0,469.0,4.105576992034912,0.12650921714420502,013.tiff,default_51,66
3128.0,3373.0,4.0931315422058105,0.1263440874333565,013.tiff,default_51,67
1172.0,4819.0,4.119212627410889,0.12611892226223761,013.tiff,default_51,68
2009.0,4124.0,4.10336446762085,0.1259939539891023,013.tiff,default_51,69
5278.0,4817.0,4.864594459533691,0.12586387367202687,013.tiff,default_51,70
7178.0,4587.0,3.991422414779663,0.12578985138008228,013.tiff,default_51,71
6563.0,4142.0,4.17059850692749,0.12543244628378977,013.tiff,default_51,72
3737.0,4020.0,3.9262969493865967,0.12456615243393641,013.tiff,default_51,73
691.0,5327.0,4.555956840515137,0.12447218900689712,013.tiff,default_51,74
6288.0,3469.0,3.952127456665039,0.1237863178150012,013.tiff,default_51,75
