item,requirement,observed,verdict,evidence
"DEP-1 combined rerun (T1-3+T2-2+T3-3+T2-3 together, one rerun)",all four pipeline changes land together and are rerun once over 14 ROIs,"MAX_PEAKS=2_000_000; arms=['tm_score', 'chromatin_od']; joint-seed helper present=False; caps=(MAX_PEAKS,) present=True",NOT-APPLIED,cell 1 config + cell 5 run_roi
DEP-2 K=50 delivery risk under a 100-peak cap,"after the rerun, check budget_delivered==50 on every ROI and arm","risk never incurred -- the cap was never changed; budget_delivered==50 on 112/112 rows, but at MAX_PEAKS=2_000_000, so this is no evidence the cap is safe",NOT-APPLICABLE,raw CSV; MAX_PEAKS unchanged
DEP-3 T1-1/T3-2 conditional on the cap,"if the 403 event vanishes, drop the mechanism paragraph and the rank fix","event still occurs on 1 ROI(s): ['403.tiff'] -- so the ""still occurs"" branch applies",CONDITION-UNCHANGED,verification CSV
"T1-1.1 cell 8 -- delete the 3-step mechanism, replace with the measured one","replacement must name the 0.5px D8 half-pixel anchor / integer-peak gap as what opens the annulus (anchor geometry), not the self_hit/match radius gap","old mechanism removed=True; mentions half-pixel/anchor geometry=False; names self_hit/match-radius gap as ""the real cause""=True",APPLIED-INCORRECTLY,cell 8 comment
"T1-1.2 cell 24->26 -- delete ""31px template ... no longer correlates most strongly""","delete outright, no softened replacement",phrase present=False,APPLIED-CORRECTLY,closing summary
"T1-1.3 cell 24->26 -- delete ""consistent with ... this run's one seed_annulus_empty violation""",remove the causal linkage entirely,phrase present=False,APPLIED-CORRECTLY,closing summary
"T1-1.4 cell 24->26 -- replace ""a genuine, if rare, consequence of the channel change""",replacement must attribute the event to D8 half-pixel template-anchor geometry,"old phrase present=False; replacement names the self-hit/match-radius gap instead of the anchor=True; markdown cell 7 still calls the event ""informative about what the channel change does to template distinctiveness""=True",APPLIED-INCORRECTLY,closing summary + markdown cell 7 (untouched)
T1-2.1 rerun the exact sign-flip on the post-rerun jointly-gated dataset,new p-values over however many ROIs got a jointly-valid seed (up to 14),"sign-flip IS computed in new cell 21, but on the un-jointly-gated 11/3 split; p-values are therefore the pre-rerun ones recomputed on identical data",APPLIED-IN-FALLBACK,cell 21; precondition T1-3 not met
T1-2.2 rewrite cell 24 tm_score/chromatin_od claims from the new test,"supported-claim sentence form; drop ""consistently worse ... 4-6 pp""","""consistently worse"" present=False; ""not resolvable at this design"" present=True; sentence still quotes 11-ROI subset counts=True",APPLIED-IN-FALLBACK,closing summary
T1-2.3 note the single-click caveat in the closing summary,joint gate removes the mismatch confound but does not replicate the estimate,single-seed caveat present=True; small-G caveat present=True,APPLIED-CORRECTLY,closing summary caveats
T1-3.2 joint-validity seed draw (both channels accept the same candidate),notebook-local helper requiring tightened_template_box AND _patch_readable to succeed under BOTH hematoxylin_od and gray_inverted,any joint helper in code=False; gray_inverted ever converted in code=False; _patch_readable referenced=False; _check gates on `hem` only=True,NOT-APPLIED,cell 5 `_check` closure
"T1-3.3 rerun 14 ROIs, recompute Table A/B/deltas/win-counts/figures; drop the starred different-seed annotation from Figure 1",no different-seed subset should remain,star annotation still in figure code=True; same_seed column still built=True; win/loss/tie still restricted to same-seed=True,NOT-APPLIED,cells 19/23/25
T1-3.4 report any ROI excluded because the joint pool is exhausted,explicit exclusion reporting,"moot -- no joint gate exists, so no exclusion can arise",NOT-APPLICABLE,-
"T1-3.5 rewrite the closing summary to one number per arm per budget over N ROIs; remove the ""more severe confound"" exclusion rationale",exclusion rationale removed entirely,"""more severe confound"" still in markdown cell 22=True; closing summary now reports BOTH the 11-ROI and the all-14 view=True",APPLIED-IN-FALLBACK,cells 22/26
"T1-4.1 delete ""a smaller template is a less distinctive one ... consistent with the precision drop""","delete, do not soften","old causal claim present=False; new text says the story ""has no support in this run's own data""=True",APPLIED-CORRECTLY,closing summary
T1-4.2 do not replace with a softened causal claim,state only that no mechanism is established,"""isn't established as the *reason*"" present=True",APPLIED-CORRECTLY,closing summary
T2-1 (none -- user explicitly declined; recall/pool/reading-depth out of scope),nothing should be added,closing summary now quotes the declined T2-1 numbers=True; any cell computes read_95/coverage_frac/full_list_recall deltas=False,ADDED-THOUGH-DECLINED,closing summary para 4; no code computes it
T2-2.1 set MAX_PEAKS = 100 (D9),MAX_PEAKS = 100 in the config cell,MAX_PEAKS = 2_000_000,NOT-APPLIED,cell 1
T2-2.2 rerun both arms under the corrected cap,recompute Table A/B/deltas/summary/figures at the cap,notebook re-executed but at the superseded cap; every number identical to the pre-correction run,NOT-APPLIED,cell 1 + raw CSV
"T2-2.3 drop the ""no coverage at the D9 production configuration"" caveat",only after the cap is applied,caveat retained and expanded in the closing summary=True,CORRECTLY-RETAINED,"closing summary (correct, since 2.1/2.2 not done)"
T2-3.1 add od_contrast as a third scored arm,"AXES carries three arms, rerun over 14 ROIs","AXES in config = ['tm_score', 'chromatin_od']; od_contrast appears only in markdown (3 cells)",NOT-APPLIED,cell 1
T2-3.2 recompute Table A/B/deltas/summary/figures with the third arm,3 arms in every output table,"arms in raw CSV = ['chromatin_od', 'tm_score']",NOT-APPLIED,raw CSV
T2-3.3 report od_contrast delta beside its per-candidate compute cost,measured margin vs one extra chromatin_density call at window 121,no measurement; closing summary states the gap in prose only,NOT-APPLIED,closing summary
"T2-4 (subsumed by T1-2; sentence shape ""moves on X of N ROIs"")",fill the shape from the new data,"""only 1 of 11 same-seed ROIs moves at all"" present=True; ""unresolvable at this design, not confirmed"" present=True",APPLIED-IN-FALLBACK,closing summary
"T2-5 markdown cell 9 -- remove ""doubles as a fidelity check on the channel change""","remove the claim and its justification, no softened replacement",claim now explicitly retracted=True; the phrase survives only inside the retraction=True,APPLIED-CORRECTLY,markdown cell 9
"T3-1 ""2-3 wins"" -> ""1-3 wins"" (fallback if the rerun is skipped)",fallback text edit,"""1-3 wins vs. 6-8 losses"" present=True; ""2-3 wins"" present=True",APPLIED-CORRECTLY,closing summary
T3-2 rank off-by-one (0-based rank reported as an ordinal),recompute the rank fresh under the new cap; report as ordinal,cell 8 now states both 0-indexed and ordinal=True,APPLIED-CORRECTLY,cell 8 (numbers re-verified from pixels below)
"T3-3 drop MAX_PEAKS from Arm(caps=(MAX_PEAKS,)) in the verification pass",must land together with T2-2,"caps=(MAX_PEAKS,) still in cell 5=True; no_cap rows still in verification CSV=28",NOT-APPLIED,cell 5 + verification CSV
T3-4 add a cell printing raw[nan_rate].max() and raw[largest_tie_block].max(),one new cell after the raw table,"""nan_rate"" anywhere in the notebook=False; ""largest_tie_block"" anywhere=False",NOT-APPLIED,whole notebook
T3-5 add ties as a visible third segment in the win-count bars,bar height reflects all 11 ROIs,ties stacked=True; ylim set to n+1=True,APPLIED-CORRECTLY,cell 25
T3-6 use one shared colour scale across both heatmap panels,same vmin/vmax on both panels instead of a per-panel lim,per-panel lim still computed inside the loop=True; markdown caveat substituted instead=True,APPLIED-INCORRECTLY,cells 22/23
T3-7 flag or join tied worst_roi_file instead of silently keeping the first row,"joined list of tied file_names, or a ""tied"" marker",worst_roi_tied column added=True; worst_roi_file still the arbitrary single pick=True; rows flagged tied in the by_domain CSV=3,APPLIED-CORRECTLY,cell 14 + by_domain CSV
