check,label,n_items,caps,passed,used_radius,expected_radius,mpp,n_near_seed,match_radius_px
no_cap,013.tiff/tm_score_deep_floor,17200.0,"(2000000,)",True,,,,,
nms_radius,013.tiff/tm_score_deep_floor,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
seed_annulus_empty,013.tiff,,,True,,,,0.0,33.139
no_cap,094.tiff/tm_score_deep_floor,18410.0,"(2000000,)",True,,,,,
nms_radius,094.tiff/tm_score_deep_floor,,,True,32.63031496062992,32.63031496062992,0.22984761284250915,,
seed_annulus_empty,094.tiff,,,True,,,,0.0,32.63
no_cap,201.tiff/tm_score_deep_floor,15848.0,"(2000000,)",True,,,,,
nms_radius,201.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,201.tiff,,,True,,,,0.0,30.222
no_cap,233.tiff/tm_score_deep_floor,17614.0,"(2000000,)",True,,,,,
nms_radius,233.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,233.tiff,,,True,,,,0.0,30.222
no_cap,245.tiff/tm_score_deep_floor,17552.0,"(2000000,)",True,,,,,
nms_radius,245.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,245.tiff,,,True,,,,0.0,30.222
no_cap,246.tiff/tm_score_deep_floor,17763.0,"(2000000,)",True,,,,,
nms_radius,246.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,246.tiff,,,True,,,,0.0,30.222
no_cap,300.tiff/tm_score_deep_floor,17940.0,"(2000000,)",True,,,,,
nms_radius,300.tiff/tm_score_deep_floor,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
seed_annulus_empty,300.tiff,,,True,,,,0.0,29.609
no_cap,301.tiff/tm_score_deep_floor,17963.0,"(2000000,)",True,,,,,
nms_radius,301.tiff/tm_score_deep_floor,,,True,29.609055118110238,29.609055118110238,0.2533008895448562,,
seed_annulus_empty,301.tiff,,,True,,,,0.0,29.609
no_cap,402.tiff/tm_score_deep_floor,17337.0,"(2000000,)",True,,,,,
nms_radius,402.tiff/tm_score_deep_floor,,,True,33.13877952755905,33.13877952755905,0.22632094805310524,,
seed_annulus_empty,402.tiff,,,True,,,,0.0,33.139
no_cap,403.tiff/tm_score_deep_floor,16411.0,"(2000000,)",True,,,,,
nms_radius,403.tiff/tm_score_deep_floor,,,True,33.059940944881895,33.059940944881895,0.22686065932495555,,
seed_annulus_empty,403.tiff,,,True,,,,0.0,33.06
no_cap,459.tiff/tm_score_deep_floor,17994.0,"(2000000,)",True,,,,,
nms_radius,459.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,459.tiff,,,True,,,,0.0,30.222
no_cap,460.tiff/tm_score_deep_floor,15339.0,"(2000000,)",True,,,,,
nms_radius,460.tiff/tm_score_deep_floor,,,True,30.221751968503938,30.221751968503938,0.24816562612969095,,
seed_annulus_empty,460.tiff,,,True,,,,0.0,30.222
no_cap,529.tiff/tm_score_deep_floor,15862.0,"(2000000,)",True,,,,,
nms_radius,529.tiff/tm_score_deep_floor,,,True,33.0639829123214,33.0639829123214,0.2268329263261596,,
seed_annulus_empty,529.tiff,,,True,,,,0.0,33.064
no_cap,548.tiff/tm_score_deep_floor,17413.0,"(2000000,)",True,,,,,
nms_radius,548.tiff/tm_score_deep_floor,,,True,32.975303229224245,32.975303229224245,0.22744294261267478,,
seed_annulus_empty,548.tiff,,,True,,,,0.0,32.975
deep_pool_covers_max_budget,ALL,,,True,,,,,
no_starvation_any_budget,ALL,,,True,,,,,
