check,severity,file_name,seed_index,condition,passed,detail
budget_delivered,halt,300.tiff,0,default_51,True,n_detections=100
budget_delivered,halt,300.tiff,0,default_51,True,n_detections=100
budget_delivered,halt,300.tiff,0,fill_alpha_0,True,n_detections=100
budget_delivered,halt,300.tiff,0,fill_alpha_0,True,n_detections=100
budget_delivered,halt,300.tiff,0,mass_only,True,n_detections=99
budget_delivered,halt,300.tiff,0,mass_only,True,n_detections=99
budget_delivered,halt,300.tiff,0,fill_alpha_1,True,n_detections=100
budget_delivered,halt,300.tiff,0,fill_alpha_1,True,n_detections=100
budget_delivered,halt,300.tiff,1,default_51,True,n_detections=100
budget_delivered,halt,300.tiff,1,default_51,True,n_detections=100
budget_delivered,halt,300.tiff,1,fill_alpha_0,True,n_detections=93
budget_delivered,halt,300.tiff,1,fill_alpha_0,True,n_detections=93
budget_delivered,halt,300.tiff,1,mass_only,True,n_detections=100
budget_delivered,halt,300.tiff,1,mass_only,True,n_detections=100
budget_delivered,halt,300.tiff,1,fill_alpha_1,True,n_detections=99
budget_delivered,halt,300.tiff,1,fill_alpha_1,True,n_detections=99
budget_delivered,halt,300.tiff,2,default_51,True,n_detections=100
budget_delivered,halt,300.tiff,2,default_51,True,n_detections=100
budget_delivered,halt,300.tiff,2,fill_alpha_0,True,n_detections=98
budget_delivered,halt,300.tiff,2,fill_alpha_0,True,n_detections=98
budget_delivered,halt,300.tiff,2,mass_only,True,n_detections=100
budget_delivered,halt,300.tiff,2,mass_only,True,n_detections=100
budget_delivered,halt,300.tiff,2,fill_alpha_1,True,n_detections=99
budget_delivered,halt,300.tiff,2,fill_alpha_1,True,n_detections=99
budget_delivered,halt,301.tiff,0,default_51,True,n_detections=100
budget_delivered,halt,301.tiff,0,default_51,True,n_detections=100
budget_delivered,halt,301.tiff,0,fill_alpha_0,True,n_detections=98
budget_delivered,halt,301.tiff,0,fill_alpha_0,True,n_detections=98
budget_delivered,halt,301.tiff,0,mass_only,True,n_detections=100
budget_delivered,halt,301.tiff,0,mass_only,True,n_detections=100
budget_delivered,halt,301.tiff,0,fill_alpha_1,True,n_detections=100
budget_delivered,halt,301.tiff,0,fill_alpha_1,True,n_detections=100
budget_delivered,halt,301.tiff,1,default_51,True,n_detections=100
budget_delivered,halt,301.tiff,1,default_51,True,n_detections=100
budget_delivered,halt,301.tiff,1,fill_alpha_0,True,n_detections=99
budget_delivered,halt,301.tiff,1,fill_alpha_0,True,n_detections=99
budget_delivered,halt,301.tiff,1,mass_only,True,n_detections=100
budget_delivered,halt,301.tiff,1,mass_only,True,n_detections=100
budget_delivered,halt,301.tiff,1,fill_alpha_1,True,n_detections=100
budget_delivered,halt,301.tiff,1,fill_alpha_1,True,n_detections=100
budget_delivered,halt,301.tiff,2,default_51,True,n_detections=94
budget_delivered,halt,301.tiff,2,default_51,True,n_detections=94
budget_delivered,halt,301.tiff,2,fill_alpha_0,True,n_detections=94
budget_delivered,halt,301.tiff,2,fill_alpha_0,True,n_detections=94
budget_delivered,halt,301.tiff,2,mass_only,True,n_detections=100
budget_delivered,halt,301.tiff,2,mass_only,True,n_detections=100
budget_delivered,halt,301.tiff,2,fill_alpha_1,True,n_detections=98
budget_delivered,halt,301.tiff,2,fill_alpha_1,True,n_detections=98
budget_delivered,halt,322.tiff,0,default_51,True,n_detections=100
budget_delivered,halt,322.tiff,0,default_51,True,n_detections=100
budget_delivered,halt,322.tiff,0,fill_alpha_0,True,n_detections=99
budget_delivered,halt,322.tiff,0,fill_alpha_0,True,n_detections=99
